image_name,pull_count,star_count,categories
redislabs/redistimeseries,1M+,14,databases-and-storage;internet-of-things;monitoring-and-observability
valkey/valkey,100M+,126,databases-and-storage
bitnamicharts/odoo,1M+,0,content-management-system;databases-and-storage;integration-and-delivery
bitnamicharts/cassandra,1M+,1,databases-and-storage;internet-of-things
redislabs/memtier_benchmark,1M+,1,databases-and-storage;monitoring-and-observability
mongodb/apix_test,1M+,0,databases-and-storage;integration-and-delivery
bitnamicharts/phpmyadmin,1M+,0,databases-and-storage;developer-tools
bitnamicharts/influxdb,1M+,0,databases-and-storage;internet-of-things;monitoring-and-observability
bitnamicharts/milvus,1M+,1,data-science;databases-and-storage;machine-learning-and-ai
ubuntu/mysql,1M+,74,databases-and-storage
bitnamicharts/mariadb-galera,1M+,1,databases-and-storage;integration-and-delivery;security
longhornio/longhorn-manager,100M+,4,databases-and-storage
bitnamicharts/valkey-cluster,500K+,0,databases-and-storage;monitoring-and-observability
bitnamicharts/appsmith,500K+,2,content-management-system;databases-and-storage;integration-and-delivery
bitnamicharts/keydb,500K+,1,databases-and-storage
bitnamicharts/solr,500K+,0,content-management-system;data-science;databases-and-storage
ubuntu/postgres,500K+,44,databases-and-storage
google/alloydbomni,500K+,11,databases-and-storage
bitnamicharts/opensearch,500K+,1,data-science;databases-and-storage;machine-learning-and-ai
bitnamicharts/seaweedfs,500K+,0,data-science;databases-and-storage;machine-learning-and-ai
apache/couchdb,50M+,27,data-science;databases-and-storage
k8ssandra/k8ssandra-client,500K+,0,databases-and-storage;integration-and-delivery;monitoring-and-observability
bitnamicharts/nessie,500K+,0,data-science;databases-and-storage
intel/pmem-csi-driver,500K+,0,data-science;databases-and-storage;machine-learning-and-ai
bitnamicharts/grafana-mimir,500K+,0,databases-and-storage;monitoring-and-observability
bitnamicharts/mongodb-sharded,500K+,0,databases-and-storage;internet-of-things;security
netboxcommunity/netbox,50M+,217,databases-and-storage;monitoring-and-observability;networking
linuxserver/calibre,50M+,361,content-management-system;databases-and-storage
linuxserver/beets,50M+,161,content-management-system;databases-and-storage
kasmweb/postgres,500K+,6,data-science;databases-and-storage;security
mongodb/atlas,500K+,12,databases-and-storage;integration-and-delivery;security
dynatrace/easytravel-mongodb,500K+,6,databases-and-storage;integration-and-delivery;monitoring-and-observability
bitnamicharts/spark,500K+,0,data-science;databases-and-storage;machine-learning-and-ai
redislabs/ng-redis-raft,500K+,0,databases-and-storage;integration-and-delivery;message-queues
longhornio/longhorn-engine,10M+,1,databases-and-storage
bitnamicharts/dremio,100K+,1,data-science;databases-and-storage
ubuntu/redis,100K+,25,databases-and-storage
redislabs/redis-webcli,100K+,5,databases-and-storage;security;web-servers
mongodb/mongodb-mcp-server,100K+,3,databases-and-storage;machine-learning-and-ai;developer-tools
linuxserver/prowlarr,10M+,400,databases-and-storage;integration-and-delivery;networking
longhornio/longhorn-instance-manager,10M+,2,databases-and-storage
databack/mysql-backup,10M+,129,databases-and-storage;integration-and-delivery;security
pingidentity/ldap-sdk-tools,100K+,6,databases-and-storage;networking;security
k8ssandra/k8ssandra-tools,100K+,0,databases-and-storage;integration-and-delivery;monitoring-and-observability
intel/pmem-csi-driver-test,100K+,0,databases-and-storage;integration-and-delivery
apache/solr-operator,10M+,3,databases-and-storage;integration-and-delivery;monitoring-and-observability
docker/v1.10-migrator,100K+,8,databases-and-storage;integration-and-delivery;operating-systems
treehouses/couchdb,10M+,22,databases-and-storage;integration-and-delivery;security
bitnamicharts/janusgraph,100K+,0,databases-and-storage
elestio/pgadmin,100K+,41,databases-and-storage;integration-and-delivery;security
bitnamicharts/cloudnative-pg,100K+,0,databases-and-storage
bitnamicharts/clickhouse-operator,100K+,0,data-science;databases-and-storage;web-analytics
bitnamicharts/scylladb,100K+,0,data-science;databases-and-storage;machine-learning-and-ai
longhornio/longhorn-ui,10M+,1,databases-and-storage
bitnamicharts/neo4j,100K+,0,databases-and-storage
linuxserver/snipe-it,10M+,98,databases-and-storage;integration-and-delivery;security
longhornio/csi-node-driver-registrar,10M+,1,databases-and-storage
bitnamicharts/minio-operator,100K+,0,data-science;databases-and-storage;machine-learning-and-ai
k8ssandra/reaper-operator,100K+,2,databases-and-storage;integration-and-delivery;monitoring-and-observability
journeyapps/powersync-service,100K+,9,databases-and-storage;developer-tools
ipfs/kubo,10M+,50,databases-and-storage;web-servers;developer-tools
hashicorp/vault-enterprise-fips,100K+,0,databases-and-storage;integration-and-delivery;security
longhornio/csi-attacher,10M+,0,databases-and-storage
longhornio/csi-resizer,10M+,0,databases-and-storage
longhornio/csi-provisioner,10M+,0,databases-and-storage
kasmweb/core-oracle-9,100K+,2,databases-and-storage
redislabs/redisgears,100K+,4,databases-and-storage;internet-of-things;machine-learning-and-ai
bitnamicharts/victoriametrics,100K+,0,databases-and-storage;monitoring-and-observability
apache/nifi-registry,10M+,42,databases-and-storage;integration-and-delivery
itzg/mc-backup,10M+,48,databases-and-storage;integration-and-delivery
vitess/lite,10M+,52,databases-and-storage;integration-and-delivery
longhornio/csi-snapshotter,10M+,0,databases-and-storage
owntracks/recorder,10M+,23,api-management;databases-and-storage;internet-of-things
k8ssandra/medusa-operator,100K+,2,databases-and-storage;integration-and-delivery;monitoring-and-observability
bitnamicharts/kube-arangodb,100K+,0,databases-and-storage
vitess/vttestserver,10M+,1,databases-and-storage;integration-and-delivery
kindest/local-path-provisioner,10M+,0,databases-and-storage
longhornio/longhorn-share-manager,10M+,0,databases-and-storage
elestio/postgres,100K+,2,databases-and-storage;security
redislabs/rcp-kubectl,100K+,1,databases-and-storage;integration-and-delivery;networking
google/mysql,100K+,26,databases-and-storage;integration-and-delivery;security
lancachenet/monolithic,5M+,118,databases-and-storage;monitoring-and-observability;networking
longhornio/livenessprobe,5M+,0,databases-and-storage
pgautoupgrade/pgautoupgrade,5M+,32,databases-and-storage
gospatial/tegola,5M+,11,data-science;databases-and-storage;web-servers
siscc/dotstatsuite-dbup,5M+,0,data-science;databases-and-storage;integration-and-delivery
valkey/valkey-bundle,5M+,7,databases-and-storage
victoriametrics/victoria-traces,100K+,1,databases-and-storage;monitoring-and-observability
apache/druid,5M+,59,data-science;databases-and-storage;internet-of-things
dockette/adminer,5M+,30,databases-and-storage;integration-and-delivery;web-servers
ubuntu/memcached,100K+,7,databases-and-storage
linuxserver/diskover,5M+,66,data-science;databases-and-storage;monitoring-and-observability
