image_name,pull_count
zapier/python,359133
bradrydzewski/python,1849979
halternz/python,1492605
rosti/python,513480
mips64le/python,617398
deepnote/python,1568785
muhleder/python,392090
ccitest/python,329542
snakepacker/python,316728
vaneci/python,958639
k45734/python,966428
mvcorreia/python,856950
suranagivinod/python,302468
dippynark/python,937421
devtestdemisto/python,763659
aimvector/python,778185
semprehealth/python,257615
dockershelf/python,305358
whip/python,815911
inspectorio/python,195172
deprecateddockerfile/python,287835
hivesolutions/python,147622
ceecko/python,127152
rendyprojects/python,117324
kaggle/python,198930
trollin/python,628893
mxnet/python,144898
grpc/python,201279
submitty/python,141963
thuyenlv/python,406065
fnproject/python,406746
databricksruntime/python,375503
paketocommunity/python,430829
yellowmenace07/python,292498
miedge/python,70917
madeforgoods/python,287201
opensuse/python,91840
rogerxman/python,285730
anhhoang236/python,304677
mobiletech/python,296094
appsvctest/python,281319
minidocks/python,70371
orbweb/python,44518
flywheel/python,49008
containerbase/python,43953
29ccd1c149/python,158424
bookmd/python,71617
ccistaging/python,47183
brunneis/python,51691
rever/python,44671
dalidocker/python,140831
c5752883155/python,148781
armhf/python,64928
vaporio/python,144452
wealthsimple/python,143772
t1zanae/python,40216
mlinarik/python,124805
node,5651768088
cimg/node,487685777
circleci/node,491257313
bitnami/node,37576920
kindest/node,123083610
okteto/node,2579728
chainguard/node,52232
corpusops/node,1158536
sitespeedio/node,167764
setupphp/node,85372
alpine/node,39554
rootpublic/node,2710
joxit/node,14847
treehouses/node,36544
vmware/node,2206
wayofdev/node,19990
vulhub/node,18020
systemsdk/node,483
openeuler/node,230
presearch/node,2207419479
calico/node,1671587662
iron/node,79581255
appsvc/node,159985015
renovate/node,9771104
appsvctest/node,2920823
safetyculture/node,3108531
ppc64le/node,14517545
chekote/node,1914706
openruntimes/node,1095116
amd64/node,4425151
hexinc/node,1039181
memsql/node,3972609
tmvdl/node,3947825
meticulo3366/node,966039
bdfoster/node,557910
arm64v8/node,2983626
instructure/node,512406
amibaio/node,2628926
alphapre/node,3629718
rupaya/node,3462076
lsmd/node,2447260
helixnetwork/node,2461250
storageos/node,2356573
arm32v7/node,2377537
wodby/node,2890395
switchboardlabs/node,395174
makeomatic/node,554741
myob/node,1862152
containerbase/node,419448
ehdevops/node,1759909
amazeeio/node,1723230
ringcentral/node,1473832
s390x/node,1400150
cusspvz/node,1265594
wallarm/node,1143195
mediot/node,168133
ccitest/node,253572
wealthsimple/node,1170698
l7labs/node,277486
dydxprotocol/node,278167
fleek/node,818349
projectairws/node,935957
codenvy/node,123547
arm32v6/node,625490
forerunnerindustries/node,230331
brumbrum/node,131940
adorsys/node,120126
ninghao/node,736498
flat/node,165787
eclipse/node,110929
webdollar/node,153469
akeneo/node,492589
guildeducation/node,144554
giantswarm/node,489529
fresh0insight/node,468783
dapulse/node,477940
nodejscn/node,180440
tutum/node,145330
nvbeta/node,420242
stocard/node,412032
soegarots/node,399759
ubuntudesign/node,144005
i386/node,362908
herohamp/node,375982
salesloft/node,356697
skpr/node,339942
countingup/node,157306
snykgoof/node,328908
helsinkitest/node,418458
trollin/node,309571
anomalyinnovations/node,302171
articulate/node,284765
framer/node,269226
philipssoftware/node,77238
harishtallam/node,252746
teamcodework/node,102852
streamr/node,241359
poetapp/node,233235
edulopes/node,295067
java,142804848
bitnami/java,2286459
circleci/java,382253
paketobuildpacks/java,1082224
alpine/java,108701
vulhub/java,54971
islandora/java,34232
dockette/java,418
clarinpl/java,355
rightctrl/java,4444925
appsvc/java,12056697
odpks/java,11640081
navikt/java,731667
iron/java,540564
hostingminecraft/java,679382
frekele/java,401469
cfidentity/java,1664634
skynodehost/java,313460
adorsys/java,254594
renovate/java,214123
tmvdl/java,318954
deprecateddockerfile/java,308597
blacklabelops/java,126012
submitty/java,171587
hypertrace/java,431065
dwolla/java,117471
jeanblanchard/java,94785
saagie/java,250047
instructure/java,261732
sgrio/java,57162
appsvctest/java,76695
novocompliancetemp/java,196239
graviteeio/java,169146
nimmis/java,72069
driftt/java,37673
beevelop/java,59652
kshivaprasad/java,39745
48d20752882/java,121162
e2eteam/java,118543
openruntimes/java,95654
grapeupci/java,90718
powsybl/java,35808
szewec/java,25089
akiunlocks/java,24820
1b655117f37e/java,86576
cloudesire/java,77786
epicsoft/java,72093
bowery/java,72892
nzopaydocker/java,71892
esycat/java,26097
minidocks/java,20345
vicamo/java,60735
nextgearcapital/java,17269
containerbase/java,14814
pig4cloud/java,51911
codebattle/java,53854
moxm/java,52594
webhippie/java,15276
kubeless/java,41604
almundo/java,20739
tifayuki/java,15808
improving/java,12706
ubirch/java,14153
licunchang/java,37076
develar/java,35398
netflixoss/java,13353
maxird/java,9024
coderenterprise/java,31857
devitllc/java,32772
opsmx11/java,9094
maxexcloo/java,27327
trendava/java,26844
esputnik/java,27419
booky10/java,26084
podshumok/java,12685
uodcvip/java,25929
defradigital/java,24254
quiq/java,7764
aalekseyev/java,9871
buzzxu/java,6299
initializbuildpacks/java,22615
